Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCBs","These will be the PCBs for all of my modules!",4,14.30,"https://jlcpcb.com/","JLCPCB"
"USB-231-ARY","These will be the USB-A output ports for my USB-A output module!",5,0.88,"https://www.lcsc.com/product-detail/C720525.html?spm=wm.gwc.xh.6.cbm___wm.mxq.ssl.gwc&lcsc_vid=ElEMAldVRFYLX1VfQlldXwBUFAMIVFRWQlhdVV0ET1kxVlNRT1ZXU11RRVJaXzsOAxUeFF5JWBEcCEoDFhIXAgAHWQIBCks%3D","LCSC"
"KH-TYPE-C-CY-14P","This will be the USB port on my USB-C modules which can be used as both an input from the host for the hub or as an output!",10,4.31,"https://www.lcsc.com/product-detail/C2919655.html?spm=wm.gwc.xh.5.cbm___wm.mxq.ssl.gwc&lcsc_vid=ElEMAldVRFYLX1VfQlldXwBUFAMIVFRWQlhdVV0ET1kxVlNRT1ZXU11RRVJaXzsOAxUeFF5JWBEcCEoDFhIXAgAHWQIBCks%3D","LCSC"
"MF1/4W-5.1KΩ±1% T","This will be the resistor that will pull the CC pins on the USB-C module to ground to avoid conflicts in connecting devices!",50,0.56,"https://www.lcsc.com/product-detail/C119340.html?spm=wm.gwc.xh.4.cbm___wm.mxq.ssl.gwc&lcsc_vid=ElEMAldVRFYLX1VfQlldXwBUFAMIVFRWQlhdVV0ET1kxVlNRT1ZXU11RRVJaXzsOAxUeFF5JWBEcCEoDFhIXAgAHWQIBCks%3D","LCSC"
"AM90","This will be the male USB port that will plug into the host USB port!",10,0.70,"https://www.lcsc.com/product-detail/C404965.html?spm=wm.gwc.xh.3.cbm___wm.mxq.ssl.gwc&lcsc_vid=ElEMAldVRFYLX1VfQlldXwBUFAMIVFRWQlhdVV0ET1kxVlNRT1ZXU11RRVJaXzsOAxUeFF5JWBEcCEoDFhIXAgAHWQIBCks%3D","LCSC"
"NSR0320MW2T1G","This will be the diode that will prevent current backflow back into the USB port the hub is connected to!",20,2.34,"https://www.lcsc.com/product-detail/C48192.html?spm=wm.gwc.xh.2.cbm___wm.mxq.ssl.gwc&lcsc_vid=ElEMAldVRFYLX1VfQlldXwBUFAMIVFRWQlhdVV0ET1kxVlNRT1ZXU11RRVJaXzsOAxUeFF5JWBEcCEoDFhIXAgAHWQIBCks%3D","LCSC"
"SL2.1A","This will be the chip that converts 1 USB input into 4 outputs!",5,1.34,"https://www.lcsc.com/product-detail/C6798314.html?spm=wm.gwc.xh.1.cbm___wm.mxq.ssl.gwc&lcsc_vid=ElEMAldVRFYLX1VfQlldXwBUFAMIVFRWQlhdVV0ET1kxVlNRT1ZXU11RRVJaXzsOAxUeFF5JWBEcCEoDFhIXAgAHWQIBCks%3D","LCSC"
"CL10A106KP8NNNC","These will be the capacitors that will keep the voltage stable for my USB hub!",100,1.03,"https://www.lcsc.com/product-detail/C19702.html?spm=wm.gwc.dh.0.cbm___wm.mxq.ssl.gwc&lcsc_vid=ElEMAldVRFYLX1VfQlldXwBUFAMIVFRWQlhdVV0ET1kxVlNRT1ZXU11RRVJaXzsOAxUeFF5JWBEcCEoDFhIXAgAHWQIBCks%3D","LCSC"
